iter	Logloss
0	0.6813428545
1	0.6703570092
2	0.6600280002
3	0.6481128238
4	0.6394750835
5	0.629554414
6	0.6199059736
7	0.6110319832
8	0.601663798
9	0.59462108
10	0.5857904678
11	0.5772726536
12	0.569038408
13	0.5609715566
14	0.5532939401
15	0.546019946
16	0.5393996755
17	0.5320520815
18	0.5256969628
19	0.519499174
20	0.5135353938
21	0.5070784411
22	0.5012050261
23	0.4953015758
24	0.4896785571
25	0.4839268803
26	0.478296063
27	0.4730982659
28	0.4682068921
29	0.4630208945
30	0.4591698147
31	0.454223866
32	0.4494312333
33	0.4449634107
34	0.4405000575
35	0.4367551174
36	0.4341813521
37	0.4306509805
38	0.4267145144
39	0.4221529626
40	0.418644122
41	0.4148860714
42	0.4109380486
43	0.4067494264
44	0.4041208732
45	0.4010057186
46	0.397892161
47	0.3948841401
48	0.3921866948
49	0.3901539525
50	0.3874451482
51	0.3846335344
52	0.3819708757
53	0.3794062768
54	0.3769999724
55	0.3745611757
56	0.3729112182
57	0.3699910628
58	0.3676661808
59	0.3654903978
60	0.3632950853
61	0.3623230879
62	0.3607199705
63	0.3587087357
64	0.3565152287
65	0.3546537114
66	0.3530787704
67	0.3510604659
68	0.3491358148
69	0.3475905847
70	0.345802546
71	0.3447604914
72	0.3438108964
73	0.3421592716
74	0.3401493201
75	0.3384415707
76	0.3368547307
77	0.3353158025
78	0.3336546387
79	0.3321557502
80	0.3309047058
81	0.3303468041
82	0.3289735391
83	0.3281247147
84	0.3267288422
85	0.3256996871
86	0.3245252783
87	0.3232155147
88	0.3229469084
89	0.3217206717
90	0.3205403316
91	0.3197988014
92	0.3188552209
93	0.3179244904
94	0.3170251294
95	0.3167279808
96	0.3156214437
97	0.3144291975
98	0.313479029
99	0.3126505252
100	0.3117828009
101	0.311000252
102	0.3100179703
103	0.3089976179
104	0.3082575131
105	0.3072615752
106	0.3065992852
107	0.3058908664
108	0.3048422604
109	0.3043547231
110	0.3039861178
111	0.3031150276
112	0.301982652
113	0.3008779855
114	0.3005024851
115	0.2996534958
116	0.2988099322
117	0.2982264986
118	0.2975377015
119	0.2969746683
120	0.2967282776
121	0.2962616002
122	0.2955711531
123	0.2948725747
124	0.2942460577
125	0.2937203885
126	0.2931326228
127	0.29259702
128	0.2919159532
129	0.2910531744
130	0.2902602002
131	0.2894874235
132	0.2888603307
133	0.2881769683
134	0.2875818737
135	0.2872276554
136	0.2865859631
137	0.285953522
138	0.2854663547
139	0.2850754842
140	0.2845415168
141	0.2842247348
142	0.283919963
143	0.2834174882
144	0.2826764206
145	0.2820114807
146	0.2812421588
147	0.2807500643
148	0.2802597507
149	0.2799003426
150	0.2792380095
151	0.2788883016
152	0.2784477707
153	0.2781873249
154	0.2775626205
155	0.2769548658
156	0.2764913225
157	0.2759317424
158	0.2753878371
159	0.2746557744
160	0.2740743757
161	0.2736201136
162	0.2733312904
163	0.2730034921
164	0.2726815218
165	0.2723000819
166	0.2722259193
167	0.2717691886
168	0.2715011923
169	0.270952564
170	0.2704883681
171	0.2701411884
172	0.2696862991
173	0.2694911911
174	0.2691562934
175	0.2690695313
176	0.2686402896
177	0.2683933184
178	0.2681165911
179	0.267786964
180	0.2675953952
181	0.267387117
182	0.2670948335
183	0.2667939749
184	0.2663079013
185	0.2660218154
186	0.265686256
187	0.2653035998
188	0.2649414762
189	0.2645471771
190	0.2640721194
191	0.2637197545
192	0.263376287
193	0.2632225083
194	0.2629161149
195	0.262662295
196	0.262321209
197	0.2621110865
198	0.2619421837
199	0.2615745252
200	0.261386067
201	0.2611169827
202	0.260810368
203	0.2606604645
204	0.2603412863
205	0.2601422991
206	0.2598656682
207	0.2595572579
208	0.2591553905
209	0.2588658578
210	0.2587186941
211	0.2583660914
212	0.2580654506
213	0.2577254338
214	0.2576264203
215	0.2574066288
216	0.2571627258
217	0.2568765447
218	0.256647872
219	0.2562973637
220	0.2560370692
221	0.2556425813
222	0.2552500529
223	0.2549892822
224	0.2548027077
225	0.2544011876
226	0.2541673239
227	0.2539037883
228	0.2535794476
229	0.2533949136
230	0.2532394921
231	0.2531105783
232	0.2528185727
233	0.2527938067
234	0.2525416136
235	0.2523153625
236	0.2521557841
237	0.2519814396
238	0.2516998247
239	0.2514555595
240	0.2510689902
241	0.2509392359
242	0.2506180066
243	0.2503945426
244	0.2500594365
245	0.2497777421
246	0.2495134142
247	0.2492513569
248	0.2490109446
249	0.2486549342
250	0.248395124
251	0.2481548703
252	0.2478622785
253	0.2477329468
254	0.2475329628
255	0.2473399233
256	0.2471213229
257	0.2469494434
258	0.2467472146
259	0.246393944
260	0.2461760341
261	0.2459301455
262	0.2457711519
263	0.2457314562
264	0.2453571503
265	0.2450226292
266	0.2448514385
267	0.2446024277
268	0.2444162536
269	0.2442303687
270	0.2439197386
271	0.24370871
272	0.2434759449
273	0.2432664815
274	0.2430176918
275	0.2428777066
276	0.2426912197
277	0.2424571667
278	0.2424456516
279	0.2423450903
280	0.2421220816
281	0.2419779685
282	0.2418188268
283	0.2415825064
284	0.2413264722
285	0.2412222894
286	0.2410203011
287	0.2408619712
288	0.2406074365
289	0.2404660854
290	0.2402642982
291	0.2400773545
292	0.2399785593
293	0.2399525248
294	0.2396920744
295	0.2394944746
296	0.2393104369
297	0.2390685114
298	0.2388062984
299	0.238577382
300	0.2384280138
301	0.2382022573
302	0.2380467085
303	0.2377517099
304	0.2375074654
305	0.237328292
306	0.2372661688
307	0.2371561236
308	0.2370253077
309	0.2368489745
310	0.2367093814
311	0.2364802151
312	0.2363238789
313	0.2360648824
314	0.2359435475
315	0.2357541432
316	0.2354625945
317	0.2352838487
318	0.2352030824
319	0.2349401794
320	0.2347239703
321	0.234515367
322	0.2343434138
323	0.2342565277
324	0.2341767237
325	0.2340220282
326	0.2337780442
327	0.2334180169
328	0.233262544
329	0.2330828834
330	0.2329595264
331	0.2326714698
332	0.232431114
333	0.2322993703
334	0.2321787285
335	0.231996386
336	0.2318588212
337	0.231764789
338	0.2316265776
339	0.2315351334
340	0.231330495
341	0.2312295268
342	0.2310276557
343	0.2308355364
344	0.2306971413
345	0.2305774933
346	0.2304745976
347	0.2302579446
348	0.2301273103
349	0.2299516169
350	0.2296395885
351	0.2294133195
352	0.2291471334
353	0.2289281234
354	0.2288168338
355	0.2286010993
356	0.2283483885
357	0.2282600231
358	0.2281433833
359	0.2280065528
360	0.2278550619
361	0.2277053679
362	0.2274689877
363	0.2272967149
364	0.2271096171
365	0.2269661524
366	0.226771111
367	0.2266264875
368	0.2264271125
369	0.2263885283
370	0.2261451608
371	0.2260415949
372	0.2258015122
373	0.225664971
374	0.2255173141
375	0.2254193668
376	0.2252428409
377	0.2249534645
378	0.224831655
379	0.2247068942
380	0.2245642941
381	0.2243201605
382	0.2241951811
383	0.2241310521
384	0.2239789174
385	0.2238853064
386	0.2237102272
387	0.2235111964
388	0.2232095268
389	0.2229850097
390	0.2227878942
391	0.2226989774
392	0.2225606534
393	0.2223890261
394	0.2222555405
395	0.2222038089
396	0.2221298457
397	0.2219536586
398	0.2217956451
399	0.2216668697
400	0.2214759359
401	0.2213186882
402	0.2212850548
403	0.2212054094
404	0.221105963
405	0.2209626578
406	0.2207520468
407	0.2205799371
408	0.2204888914
409	0.2203923114
410	0.2203086796
411	0.2202312921
412	0.2200884185
413	0.2199979484
414	0.2198323481
415	0.2197602039
416	0.219686266
417	0.2195867261
418	0.2194365933
419	0.2192385673
420	0.2190761494
421	0.2190430314
422	0.2189326031
423	0.2188447779
424	0.2188438399
425	0.2186489945
426	0.2186129128
427	0.2184487464
428	0.2183241005
429	0.2181209308
430	0.2179514673
431	0.2177949182
432	0.2175463148
433	0.217461402
434	0.2173880337
435	0.2172020909
436	0.2170227097
437	0.2168891349
438	0.2167154889
439	0.2164024073
440	0.2163499515
441	0.2162394818
442	0.2160389903
443	0.2159329279
444	0.2157366607
445	0.2155850873
446	0.2154685019
447	0.215263113
448	0.2151696442
449	0.2150232694
450	0.2149190513
451	0.2147453081
452	0.2145330267
453	0.214278461
454	0.2141151946
455	0.2138896443
456	0.2137444774
457	0.2135992084
458	0.2134947679
459	0.2133030362
460	0.2131740113
461	0.2129227308
462	0.2128444997
463	0.2126104786
464	0.2124406109
465	0.2122281694
466	0.2119902268
467	0.2117978465
468	0.2117329844
469	0.211655446
470	0.211403653
471	0.2112347161
472	0.2111569745
473	0.211139888
474	0.2110039739
475	0.2109051771
476	0.2107721365
477	0.2106890293
478	0.210487395
479	0.2103050691
480	0.2100717344
481	0.2099567316
482	0.2098356776
483	0.2097138411
484	0.2096123028
485	0.2093951438
486	0.2093843168
487	0.2092959381
488	0.2090921998
489	0.2090530697
490	0.2090020647
491	0.2089106852
492	0.208871795
493	0.2087832715
494	0.2086831118
495	0.2085314771
496	0.2084165685
497	0.208349341
498	0.2081319843
499	0.2080109301
500	0.2078836083
501	0.2077553103
502	0.2076465919
503	0.2075947879
504	0.2074578884
505	0.2073649033
506	0.2071923017
507	0.2070459545
508	0.2069806224
509	0.2069280782
510	0.2067987793
511	0.2066844469
512	0.2065720132
513	0.2064673266
514	0.2063606117
515	0.2062998667
516	0.206218216
517	0.2060591649
518	0.2059307474
519	0.2057401435
520	0.2055694229
521	0.2054336501
522	0.2053430016
523	0.2052370291
524	0.205051963
525	0.204899557
526	0.2047108802
527	0.2046619549
528	0.2045458802
529	0.2044446571
530	0.2042552533
531	0.2041836998
532	0.2041399416
533	0.2039556411
534	0.203819315
535	0.2037230733
536	0.2034459819
537	0.2033502805
538	0.2032695986
539	0.2030053755
540	0.2030013023
541	0.2029372372
542	0.202795694
543	0.2025692701
544	0.2023802069
545	0.2022793978
546	0.2021514432
547	0.2020446609
548	0.2017943559
549	0.2016028132
550	0.2014072064
551	0.2013650307
552	0.2012048362
553	0.2011485795
554	0.2009482601
555	0.2008467713
556	0.2007369609
557	0.2006274108
558	0.2005459117
559	0.2004364426
560	0.2003081695
561	0.200175758
562	0.2000670399
563	0.1998613461
564	0.1996398812
565	0.1995211927
566	0.1993914257
567	0.1992156479
568	0.1990951484
569	0.1989425634
570	0.19885277
571	0.19867124
572	0.1985990123
573	0.1984884475
574	0.1983501415
575	0.1981729865
576	0.1980974431
577	0.1979838754
578	0.1978610649
579	0.1977743802
580	0.1976443685
581	0.1974557724
582	0.1972503597
583	0.1969877422
584	0.1967900208
585	0.1965608174
586	0.1964245759
587	0.1963887016
588	0.1962849496
589	0.1962105007
590	0.1960610356
591	0.1959981329
592	0.1959134312
593	0.195822671
594	0.1957104205
595	0.1956472664
596	0.1955495434
597	0.1953335465
598	0.1951990267
599	0.1950962224
600	0.1950740412
601	0.195013099
602	0.1949750119
603	0.1948509634
