iter	Passed	Remaining
495	573	582
496	576	583
497	577	581
498	579	581
499	581	581
500	583	580
501	585	580
502	587	580
503	587	578
504	590	578
505	592	578
506	594	577
507	596	577
508	597	576
509	599	576
510	601	575
511	603	574
512	605	574
513	607	573
514	608	573
515	609	571
516	611	571
517	612	569
518	613	568
519	614	567
520	615	565
521	616	564
522	617	563
523	618	561
524	619	560
525	621	559
526	622	558
527	623	557
528	624	555
529	626	555
530	628	554
531	629	553
532	630	552
533	631	550
534	632	549
535	633	548
536	635	547
537	636	546
538	638	545
539	639	544
540	639	542
541	640	541
542	641	540
543	642	538
544	643	537
545	644	536
546	645	534
547	646	533
548	648	532
549	649	531
550	650	529
551	651	528
552	652	527
553	653	526
554	654	524
555	655	523
556	656	522
557	657	521
558	658	519
559	659	518
560	660	517
561	661	515
562	662	514
563	664	513
564	665	512
565	666	510
566	667	509
567	670	509
568	672	509
569	674	508
570	676	508
571	678	507
572	680	507
573	682	506
574	683	505
575	686	505
576	687	504
577	688	502
578	690	502
579	692	501
580	693	499
581	694	498
582	695	497
583	697	496
584	698	495
585	699	494
586	700	492
587	701	491
588	703	490
589	704	489
590	705	488
591	708	487
592	708	486
593	711	486
594	712	485
595	714	484
596	716	483
597	718	482
598	719	481
599	721	480
600	722	479
601	724	478
602	725	477
603	726	476
604	727	474
605	728	473
606	729	471
607	730	471
608	731	469
609	732	468
610	733	467
611	735	466
612	736	464
613	737	463
614	738	462
615	739	460
616	740	459
617	741	458
618	742	457
619	743	455
620	744	454
621	745	453
622	746	451
623	748	450
624	749	449
625	750	448
626	751	446
627	752	445
628	753	444
629	754	443
630	755	441
631	756	440
632	757	439
633	758	437
634	759	436
635	760	435
636	761	433
637	762	432
638	763	431
639	764	429
640	765	428
641	766	427
642	767	426
643	768	424
644	769	423
645	770	422
646	771	421
647	772	419
648	773	418
649	774	417
650	775	415
651	776	414
652	777	413
653	779	412
654	780	410
655	780	409
656	781	408
657	782	406
658	783	405
659	784	404
660	785	402
661	786	401
662	787	400
663	788	398
664	789	397
665	790	396
666	791	395
667	792	394
668	793	392
669	794	391
670	795	390
671	796	388
672	797	387
673	799	386
674	800	385
675	800	383
676	801	382
677	802	381
678	803	379
679	804	378
680	805	377
681	806	376
682	807	374
683	808	373
684	809	372
685	810	370
686	811	369
687	812	368
688	813	367
689	814	366
690	815	364
691	816	363
692	817	362
693	818	360
694	819	359
695	820	358
696	821	357
697	822	355
698	822	354
699	824	353
700	825	352
701	826	350
702	827	349
703	828	348
704	829	347
705	830	345
706	831	344
707	832	343
708	833	342
709	834	340
710	835	339
711	836	338
712	837	337
713	838	335
714	839	334
715	840	333
716	841	332
717	842	330
718	843	329
719	844	328
720	845	327
721	846	325
722	847	324
723	848	323
724	848	322
725	849	320
726	850	319
727	851	318
728	852	316
729	853	315
730	854	314
731	855	313
732	856	311
733	857	310
734	858	309
735	859	308
736	860	307
737	861	305
738	862	304
739	863	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	868	295
746	870	294
747	871	293
748	872	292
749	872	290
750	873	289
751	874	288
752	875	287
753	876	285
754	877	284
755	878	283
756	879	282
757	879	280
758	880	279
759	881	278
760	882	277
761	883	276
762	884	274
763	885	273
764	886	272
765	888	271
766	889	270
767	890	269
768	891	267
769	893	267
770	895	265
771	896	264
772	897	263
773	897	262
774	899	261
775	900	259
776	901	258
777	901	257
778	902	256
779	904	255
780	905	253
781	907	253
782	909	252
783	910	250
784	912	249
785	914	248
786	915	247
787	917	246
788	917	245
789	918	244
790	919	243
791	922	242
792	923	241
793	925	240
794	926	238
795	927	237
796	928	236
797	930	235
798	931	234
799	932	233
800	933	231
801	934	230
802	935	229
803	936	228
804	937	227
805	938	225
806	939	224
807	940	223
808	942	222
809	943	221
810	944	220
811	944	218
812	947	217
813	948	216
814	948	215
815	949	214
816	950	212
817	951	211
818	953	210
819	954	209
820	955	208
821	956	207
822	957	205
823	958	204
824	959	203
825	960	202
826	961	201
827	962	199
828	963	198
829	964	197
830	965	196
831	966	195
832	967	193
833	967	192
834	968	191
835	969	190
836	970	189
837	971	187
838	972	186
839	973	185
840	974	184
841	975	183
842	976	181
843	977	180
844	978	179
845	979	178
846	980	177
847	981	175
848	982	174
849	983	173
850	984	172
851	985	171
852	986	169
853	986	168
854	987	167
855	988	166
856	989	165
857	990	163
858	991	162
859	992	161
860	993	160
861	994	159
862	995	158
863	996	156
864	997	155
865	998	154
866	999	153
867	1000	152
868	1001	150
869	1002	149
870	1003	148
871	1003	147
872	1004	146
873	1005	145
874	1006	143
875	1008	142
876	1009	141
877	1009	140
878	1010	139
879	1011	137
880	1012	136
881	1013	135
882	1015	134
883	1016	133
884	1017	132
885	1018	131
886	1019	129
887	1020	128
888	1021	127
889	1022	126
890	1024	125
891	1025	124
892	1026	122
893	1027	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1031	115
899	1032	114
900	1033	113
901	1034	112
902	1035	111
903	1036	110
904	1037	108
905	1038	107
906	1039	106
907	1040	105
908	1041	104
909	1042	103
910	1043	101
911	1044	100
912	1045	99
913	1046	98
914	1047	97
915	1048	96
916	1049	94
917	1050	93
918	1051	92
919	1052	91
920	1053	90
921	1054	89
922	1055	88
923	1056	86
924	1057	85
925	1058	84
926	1059	83
927	1060	82
928	1061	81
929	1062	79
930	1063	78
931	1064	77
932	1065	76
933	1066	75
934	1067	74
935	1068	73
936	1070	71
937	1070	70
938	1071	69
939	1072	68
940	1074	67
941	1075	66
942	1075	65
943	1076	63
944	1077	62
945	1078	61
946	1080	60
947	1081	59
948	1082	58
949	1082	56
950	1083	55
951	1084	54
952	1086	53
953	1089	52
954	1091	51
955	1094	50
956	1095	49
957	1096	48
958	1100	47
959	1101	45
960	1104	44
961	1105	43
962	1106	42
963	1107	41
964	1108	40
965	1109	39
966	1111	37
967	1113	36
968	1113	35
969	1116	34
970	1117	33
971	1118	32
972	1121	31
973	1123	29
974	1125	28
975	1127	27
976	1129	26
977	1130	25
978	1131	24
979	1132	23
980	1133	21
981	1134	20
982	1135	19
983	1136	18
984	1137	17
985	1138	16
986	1139	15
987	1140	13
988	1142	12
989	1143	11
990	1144	10
991	1145	9
992	1146	8
993	1147	6
994	1149	5
995	1150	4
996	1151	3
997	1152	2
998	1153	1
999	1154	0
